security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,estimated_Time
none,16,3,1,0.0003742183150183,0.0255467999999999,0.0008883309859154,0.0227914999999999,5,5,5,5,0.0303116835164823,0.0071066478873232,1.800528499999992,0.3065615999999988,2.1445084314037963
none,16,3,2,0.0003778454613653,0.0170399999999999,0.0007082714285714,0.0153429999999999,5,5,5,5,0.0306054823705893,0.0056661714285712,1.2120969999999922,0.20447999999999877,1.4528486537991516
none,16,3,4,0.0003616477354421,0.0171431666666666,0.0005464545454545,0.0151686363636363,5,5,5,5,0.0292934665708101,0.004371636363636,1.1983222727272678,0.20571799999999918,1.437705375661713
none,16,3,8,0.0003669028571428,0.0164752580645161,0.0005471896024464,0.015303794117647,5,5,5,5,0.0297191314285668,0.0043775168195712,1.208999735294113,0.1977030967741932,1.4407994803164443
none,16,3,16,0.0003576133428981,0.0167127666666666,0.0005136920731707,0.0150607647058823,5,5,5,5,0.0289666807747461,0.0041095365853656,1.1898004117647016,0.2005531999999992,1.4234298291248126
none,16,3,32,0.0003613042857142,0.0169456451612903,0.0005564584615384,0.0148850294117647,5,5,5,5,0.0292656471428502,0.0044516676923072,1.1759173235294114,0.2033477419354836,1.4129823803000525
none,16,6,1,0.0007522218844984,0.0556894444444444,0.0018649746835443,0.0524815,5,5,5,5,0.0609299726443704,0.0149197974683544,4.1460385,0.6682733333333328,4.8901616034460575
none,16,6,2,0.0007277018544935,0.0407990769230769,0.001406375,0.0374750769230769,5,5,5,5,0.058943850213973505,0.011251,2.9605310769230755,0.4895889230769228,3.5203148502139716
none,16,6,4,0.0006595994764397,0.0379972857142857,0.0011409425287356,0.0318278749999999,5,5,5,5,0.053427557591615694,0.0091275402298848,2.514402124999992,0.45596742857142836,3.032924651392921
none,16,6,8,0.0006324417721518,0.0359257333333333,0.0009658266129032,0.0320330625,5,5,5,5,0.0512277835442958,0.0077266129032256,2.5306119375000002,0.4311087999999996,3.0206751339475213
none,16,6,16,0.0006471498079385,0.0355712666666666,0.000875464,0.0309188124999999,5,5,5,5,0.0524191344430185,0.007003712,2.442586187499992,0.4268551999999992,2.9288642339430098
none,16,6,32,0.0006555714285714,0.0350912,0.0008862182539682,0.03176825,5,5,5,5,0.0531012857142834,0.0070897460317456,2.50969175,0.42109440000000004,2.990977181746029
