security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Bootstrap,CKKS_Logistic,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Sub,CKKS_Add_count,CKKS_Bootstrap_count,CKKS_Logistic_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Sub_count,CKKS_Mult_Plaintext_contribution,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Bootstrap_contribution,CKKS_Sub_contribution,CKKS_Mult_contribution,CKKS_Logistic_contribution,estimated_Time
128c,12,10,1,0.0300663064516129,20.217095,13.945696000000002,0.3581439999999993,0.0093633749999999,0.3134289999999993,0.0200954999999999,5,5,5,5,5,5,5,0.37453499999999595,1.1725859516129031,6.268579999999986,181.953855,0.3818144999999981,3.2232959999999937,139.45696,332.8316264516129
128c,12,10,2,0.0378416078431372,9.990154999999994,8.851895,0.302562,0.00432575,0.2897695000000002,0.0074593666666666,5,5,5,5,5,5,5,0.17303,1.4758227058823508,5.795390000000004,89.91139499999994,0.1417279666666654,2.723058,88.51895,188.73937367254896
128c,12,10,4,0.0317789423076922,3.915779000000001,5.970210999999999,0.2272324999999995,0.0053042631578947,0.2078055000000001,0.008786,5,5,5,5,5,5,5,0.212170526315788,1.239378749999996,4.156110000000002,35.24201100000001,0.166934,2.0450924999999955,59.70210999999999,102.76380677631579
128c,12,10,8,0.0485279803921568,1.7875839999999954,4.830418999999999,0.1941523333333332,0.00713792,0.1539549999999998,0.0081852765957446,5,5,5,5,5,5,5,0.2855168,1.8925912352941152,3.079099999999996,16.08825599999996,0.1555202553191474,1.747370999999999,48.30418999999999,71.55254529061321
128c,12,10,16,0.0469706470588235,1.4860459999999946,4.474409000000001,0.1842500000000004,0.0027650666666667,0.1431053333333327,0.0067071020408163,5,5,5,5,5,5,5,0.11060266666666801,1.8318552352941164,2.862106666666654,13.374413999999952,0.1274349387755097,1.6582500000000038,44.744090000000014,64.70875350740292
128c,12,10,32,0.0523052156862745,1.8572830000000025,4.480400999999999,0.1670610000000003,0.0065024333333332,0.1285183333333339,0.0064481372549019,5,5,5,5,5,5,5,0.26009733333332796,2.0399034117647052,2.5703666666666782,16.715547000000022,0.12251460784313611,1.5035490000000027,44.80400999999999,68.01598801960786
128c,12,14,1,0.2083749791666667,34.965762,16.650141,0.6526589999999999,0.0235797142857139,0.6607319999999994,0.0153791111111112,5,5,5,5,5,5,5,0.9431885714285559,8.126624187500001,13.214639999999989,314.69185799999997,0.2922031111111128,5.873930999999999,166.50141000000002,509.64385487003966
128c,12,14,2,0.2237899761904762,22.284882000000003,10.488873000000002,0.5290780000000002,0.0261470909090906,0.4589970000000001,0.0206626923076923,5,5,5,5,5,5,5,1.045883636363624,8.727809071428572,9.179940000000002,200.56393800000004,0.3925911538461537,4.761702000000001,104.88873000000001,329.5605938616384
128c,12,14,4,0.2432229523809523,14.271659,7.173062,0.4011760000000004,0.0204552352941177,0.3285850000000003,0.0154536764705882,5,5,5,5,5,5,5,0.8182094117647081,9.48569514285714,6.571700000000006,128.444931,0.2936198529411758,3.610584000000004,71.73062,220.95535940756304
128c,12,14,8,0.2395537674418604,11.123153000000002,5.691056,0.2703160000000002,0.0156899130434782,0.2258490000000002,0.0132734047619047,5,5,5,5,5,5,5,0.6275965217391279,9.342596930232556,4.516980000000004,100.10837700000002,0.2521946904761893,2.432844000000002,56.91056,174.1911491424479
