Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,matrix_multiplication Time,matrix_multiplication Energy,matrix_multiplication Power,matrix_multiplication Memory Bandwidth,matrix_multiplication IPC,matrix_multiplication FLOPS,matrix_multiplication instructions,matrix_multiplication cpu-cycles,matrix_multiplication cache-references,matrix_multiplication cache-misses,matrix_multiplication branches,matrix_multiplication branch-misses,matrix_multiplication L1-dcache-loads,matrix_multiplication L1-dcache-load-misses,matrix_multiplication L1-icache-loads,matrix_multiplication L1-icache-load-misses,matrix_multiplication dTLB-loads,matrix_multiplication dTLB-load-misses,matrix_multiplication iTLB-loads,matrix_multiplication iTLB-load-misses,matrix_multiplication page-faults,matrix_multiplication minor-faults,matrix_multiplication fp_ops_retired_by_type.scalar_all,matrix_multiplication fp_ops_retired_by_type.scalar_add,matrix_multiplication fp_ops_retired_by_type.vector_all,matrix_multiplication fp_ops_retired_by_type.scalar_mul,sign_eval Time,sign_eval Energy,sign_eval Power,sign_eval Memory Bandwidth,sign_eval IPC,sign_eval FLOPS,sign_eval instructions,sign_eval cpu-cycles,sign_eval cache-references,sign_eval cache-misses,sign_eval branches,sign_eval branch-misses,sign_eval L1-dcache-loads,sign_eval L1-dcache-load-misses,sign_eval L1-icache-loads,sign_eval L1-icache-load-misses,sign_eval dTLB-loads,sign_eval dTLB-load-misses,sign_eval iTLB-loads,sign_eval iTLB-load-misses,sign_eval page-faults,sign_eval minor-faults,sign_eval fp_ops_retired_by_type.scalar_all,sign_eval fp_ops_retired_by_type.scalar_add,sign_eval fp_ops_retired_by_type.vector_all,sign_eval fp_ops_retired_by_type.scalar_mul,logistic_function Time,logistic_function Energy,logistic_function Power,logistic_function Memory Bandwidth,logistic_function IPC,logistic_function FLOPS,logistic_function instructions,logistic_function cpu-cycles,logistic_function cache-references,logistic_function cache-misses,logistic_function branches,logistic_function branch-misses,logistic_function L1-dcache-loads,logistic_function L1-dcache-load-misses,logistic_function L1-icache-loads,logistic_function L1-icache-load-misses,logistic_function dTLB-loads,logistic_function dTLB-load-misses,logistic_function iTLB-loads,logistic_function iTLB-load-misses,logistic_function page-faults,logistic_function minor-faults,logistic_function fp_ops_retired_by_type.scalar_all,logistic_function fp_ops_retired_by_type.scalar_add,logistic_function fp_ops_retired_by_type.vector_all,logistic_function fp_ops_retired_by_type.scalar_mul
2025-05-27 22:43:08,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,True,False,True,True,True,10.003822,625.91,125.07166177997767,409.0967076844808,3.3398569164659966,7.759595285039538,51092479325.0,15297804847.0,1530933294.0,31988876.0,2517876635.0,3950499.0,10683938177.0,895624027.0,54350209.0,76280.0,9834765.0,3505153.0,22554.0,27614.0,38701.0,38897.0,68480.0,42700.0,38806424.0,5225.0,18.292028000000002,1134.83,124.04528210811064,434.34677150846574,3.502145523281245,8.924750948624006,99702484933.0,28468972597.0,2597719549.0,62087930.0,4768343755.0,37729388.0,18708854778.0,1524240286.0,194779160.0,230615.0,19668440.0,4573703.0,111129.0,89337.0,363305.0,501616.0,49802.0,12048.0,81610455.0,,7.516,457.58,121.6806275761202,377.1335258609228,3.494590802655675,6.631601382794841,40453120541.0,11575924858.0,1000671025.0,22159541.0,1900278808.0,13571089.0,7452594176.0,613642829.0,56944818.0,77628.0,7023253.0,1987587.0,41543.0,26044.0,319563.0,538208.0,2943.0,543.0,24935737.0,
2025-05-27 22:48:46,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,True,False,False,True,True,10.099414,628.2,124.3416985883595,408.60303942415663,3.3295280460215118,7.566369113537905,50925251247.0,15295035976.0,1514982055.0,32255424.0,2537809702.0,3910876.0,10714887098.0,894465751.0,58242390.0,72006.0,9684048.0,3495045.0,29096.0,22225.0,40522.0,40558.0,5642.0,1806.0,38223027.0,123872.0,18.708708,1165.4,124.55040978516922,433.17972985364526,3.4929733088383745,,99664254853.0,28532784548.0,2636271389.0,63331242.0,4764725185.0,35946820.0,18737664742.0,1518426018.0,221153034.0,224296.0,19429585.0,4466165.0,128670.0,80197.0,271859.0,272053.0,26957.0,,83671643.0,8409.0,7.560884,468.02,123.7185238367387,376.2944713400311,3.4981503189227223,,40546967929.0,11590973581.0,1007118911.0,22242190.0,1887905502.0,16224626.0,7467664650.0,609213386.0,61316238.0,83056.0,6870938.0,1860743.0,31692.0,20830.0,65796.0,65225.0,3738.0,,26403278.0,
2025-05-27 22:54:03,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,True,False,False,True,True,10.107083999999999,623.0899999999999,123.23671361907198,417.0989655544792,3.33134191067295,7.666882711812916,51086467514.0,15335101855.0,1524724772.0,32951092.0,2518521555.0,3976455.0,10684085043.0,892210837.0,50020190.0,68033.0,9755251.0,3421211.0,20741.0,23725.0,38788.0,38635.0,91208.0,46452.0,38719325.0,80214.0,18.734498000000002,1163.5800000000002,124.18475671013177,423.6725999810668,3.5031822061662017,,99943133690.0,28529242217.0,2583480390.0,62026655.0,4763287468.0,33912427.0,18722111519.0,1546917100.0,197133831.0,233657.0,19659973.0,4532812.0,108028.0,78091.0,272040.0,266219.0,76401.0,,80713336.0,,7.573144,469.46,123.89841100934476,384.9794736019796,3.4831636709505505,6.75079307017655,40386536260.0,11594785682.0,1013230805.0,22792421.0,1889924766.0,15726042.0,7481183098.0,612677642.0,56523106.0,81940.0,6847318.0,1833554.0,33942.0,26946.0,69363.0,69423.0,1385.0,551.0,25578407.0,
2025-05-27 22:59:20,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,True,False,False,True,True,10.104337999999998,624.2800000000001,123.5056143142113,403.75929027202375,3.323009499975976,7.480005713529412,50861013686.0,15305708180.0,1504871323.0,31888587.0,2535611137.0,4079772.0,10705694939.0,894896630.0,54583038.0,75049.0,9899167.0,3521675.0,30572.0,35875.0,39274.0,39102.0,85234.0,47753.0,37771472.0,3.0,18.653788000000002,1159.15,124.24708400138316,424.7673415872457,3.5111473270942346,,100075607039.0,28502252317.0,2563312148.0,61919092.0,4769840239.0,35774367.0,18654258543.0,1546672684.0,248245695.0,217918.0,19959397.0,4638472.0,109675.0,79523.0,316914.0,455388.0,28268.0,,80966157.0,7531.0,7.503654,469.11,124.95182225735796,373.4011661743903,3.496196188230386,,40590540733.0,11609915047.0,1015153927.0,21904220.0,1899764756.0,15993164.0,7394296270.0,608990232.0,83025187.0,82592.0,7077687.0,1949950.0,34652.0,24425.0,65419.0,60998.0,3419.0,,26701747.0,803.0
2025-05-27 23:04:39,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,True,False,False,True,True,10.010933999999999,622.85,124.37182593255906,400.5382176040697,3.3309532548911758,,50995984719.0,15309726921.0,1499604119.0,31341909.0,2535214869.0,4182202.0,10652602282.0,883978361.0,45881580.0,84481.0,10216448.0,3558103.0,21454.0,28743.0,562205.0,703346.0,7510.0,,40090386.0,1636.0,18.591362,1139.32,122.53149298771449,434.4095637630629,3.4963278618810563,,99730257847.0,28524286562.0,2608810420.0,63112793.0,4755251943.0,36591799.0,18713673252.0,1539343466.0,248603390.0,209627.0,19558660.0,4486407.0,109950.0,72814.0,301641.0,399354.0,67393.0,,80919965.0,,7.589014,462.29,121.7511582148782,373.7939824709304,3.488413694439963,6.662068571377404,40356338756.0,11568679145.0,1019903773.0,22176537.0,1902393431.0,14908700.0,7486077692.0,609585244.0,51889507.0,78085.0,6591367.0,1839476.0,26951.0,18739.0,433743.0,654129.0,535.0,730.0,25296116.0,
2025-05-27 23:09:23,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,True,False,False,True,True,7.169786,503.3,140.29686739088802,1268.8086841893264,2.484689178063453,10.849200240954923,51517647002.0,20734040884.0,1529510420.0,71120553.0,2650073037.0,3919597.0,10781228372.0,900601517.0,56097151.0,100492.0,9719882.0,3394877.0,14974.0,33348.0,38830.0,38643.0,5752.0,1190.0,38915783.0,63023.0,13.818822,989.9,143.21654315282703,1447.7467525261825,2.3552368739273017,11.895525130459578,100817560122.0,42805698755.0,2588549864.0,156354636.0,5087208560.0,34273003.0,18900503013.0,1565835017.0,234761124.0,277760.0,20553174.0,4942121.0,126971.0,90581.0,324821.0,268205.0,25261.0,15610.0,82211160.0,,5.22642,367.42,140.46664194425225,1233.6081171077833,2.560111896952856,10.030595899392516,40685761918.0,15892181106.0,1016564420.0,50418142.0,2015652180.0,14247034.0,7508284401.0,620814243.0,68481556.0,90670.0,7032919.0,1890364.0,32058.0,26556.0,104466.0,84891.0,1528.0,1115.0,26236717.0,
2025-05-27 23:13:40,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,True,False,False,True,True,7.161588000000001,505.24,140.9987570096118,1222.8405975060934,2.4724181846089794,12.242245821861111,51528027775.0,20841145764.0,1512730147.0,68465584.0,2656962794.0,4810407.0,10701135011.0,882830558.0,50756317.0,104356.0,9936701.0,3512562.0,30233.0,26673.0,202458.0,282497.0,7898.0,53323.0,43912991.0,25529.0,13.82533,989.4,143.07684632253893,1492.1387414472397,2.3980853975504663,,101665545029.0,42394463989.0,2631154914.0,161224775.0,5033913006.0,36304170.0,18790729368.0,1565208965.0,229613058.0,393903.0,20259485.0,4993812.0,173583.0,92571.0,323535.0,386031.0,37351.0,,79387215.0,,5.202422,371.74,142.7731418732724,1208.9465597372366,2.5701854157784467,9.54991241347446,40788478623.0,15869858405.0,999958329.0,49183554.0,2001276243.0,13380218.0,7501136165.0,619872134.0,68709954.0,94459.0,7316254.0,1948215.0,32819.0,30834.0,222597.0,93747.0,4081.0,157.0,24861288.0,
2025-05-27 23:17:58,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,True,False,False,True,True,7.200954,497.84,138.17462614943145,1277.7658475199817,2.465205514666532,10.743190700356957,50803591501.0,20608258094.0,1533441411.0,71933765.0,2666384424.0,4441144.0,10830511751.0,903763018.0,75116744.0,114599.0,10052530.0,3484498.0,43291.0,36725.0,38769.0,38842.0,5763.0,1263.0,38702969.0,,13.931357999999998,974.43,139.8399782783996,1456.814562312478,2.386039328381513,,101006685019.0,42332363854.0,2588862417.0,158614760.0,5066749760.0,33796358.0,18933544168.0,1571500842.0,242707160.0,278416.0,20178993.0,4896484.0,111565.0,85746.0,288095.0,504971.0,66421.0,,82020595.0,,5.261342000000001,379.44,144.1000223684675,1193.298562075915,2.5964306094284093,,41030372791.0,15802607103.0,1005685879.0,49096237.0,1979958157.0,14320372.0,7503016635.0,626367623.0,83502832.0,111803.0,7482056.0,1931658.0,47808.0,29576.0,360441.0,94835.0,6319.0,,25987550.0,1350.0
2025-05-27 23:22:15,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,True,False,False,True,True,7.193134,505.1,140.3419275051006,1264.3119163938877,2.5037051616153567,9.694589458879202,51714280699.0,20655100086.0,1514054669.0,71099114.0,2639050874.0,3769971.0,10680718175.0,918354773.0,56248988.0,98541.0,10158188.0,3456110.0,21471.0,30532.0,38795.0,38637.0,436323.0,75315.0,34530469.0,,13.894726,954.3,137.31205924490885,1499.0330830981843,2.355944596498452,,100901028935.0,42828269003.0,2633949015.0,162782415.0,5080784736.0,34806917.0,18955879975.0,1559180281.0,233168006.0,309307.0,20531767.0,5054016.0,159661.0,93845.0,571006.0,580513.0,134371.0,,79309213.0,8660.0,5.203368,361.95,138.98787489670468,1205.9944151411728,2.5581820668669333,,40632089684.0,15883189164.0,1008735247.0,49072365.0,2009273709.0,14318438.0,7543928140.0,618706390.0,57898126.0,99963.0,7274130.0,1992184.0,35217.0,36589.0,145259.0,110457.0,3720.0,,25276299.0,
2025-05-27 23:26:33,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,True,False,False,True,True,7.175108,499.65,139.17617952264786,1257.505318861499,2.4800006693728296,11.1427296079669,51472587726.0,20755070094.0,1500859439.0,70539250.0,2667506050.0,4447601.0,10719159451.0,899789986.0,56480395.0,79816.0,10195552.0,3533217.0,25018.0,31551.0,16333.0,150947.0,244276.0,58517.0,39817242.0,,13.889059999999999,967.0,139.1961744803175,1456.7726720627377,2.3813636229284825,,100918643451.0,42378510564.0,2582083885.0,158128804.0,5072788100.0,33987649.0,18857028255.0,1572858159.0,215447864.0,287302.0,20280228.0,4837657.0,117542.0,84219.0,328268.0,392412.0,55080.0,,82134943.0,,5.2162880000000005,367.55,140.78901604355093,1262.3726436848533,2.558654615064447,,40686685698.0,15901593540.0,1005710384.0,51493837.0,1978307985.0,13786086.0,7508780001.0,614961083.0,66100668.0,102938.0,7279771.0,2051810.0,50173.0,36423.0,101799.0,382823.0,5416.0,,25756000.0,695.0
