Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,chi_square_test Time,chi_square_test Energy,chi_square_test Power
2025-06-25 21:24:09.033,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,1,True,False,False,False,True,True,2.546471999999998,156.1400000000001,61.31620532250118
2025-06-25 21:25:01.585,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,1,True,False,False,False,True,True,3.0561369999999997,217.87999999999988,71.29261548157034
2025-06-25 21:25:54.400,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,1,True,False,False,False,True,True,3.3837170000000008,225.4599999999998,66.63086777056112
2025-06-25 21:26:46.986,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,1,True,False,False,False,True,True,3.0443060000000024,197.63999999999987,64.9212004312312
2025-06-25 21:27:39.566,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,1,True,False,False,False,True,True,2.8400360000000013,200.56999999999994,70.62234422380556
2025-06-25 21:28:32.461,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,1,True,False,False,False,True,True,2.262243999999999,193.05999999999995,85.34004289546134
2025-06-25 21:29:00.336,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,2,True,False,False,False,True,True,2.508063,146.16999999999996,58.28003523037498
2025-06-25 21:29:28.596,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,2,True,False,False,False,True,True,2.508446000000001,181.29999999999995,72.27582335836605
2025-06-25 21:29:56.749,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,2,True,False,False,False,True,True,2.493094000000001,174.65999999999997,70.05752691234261
2025-06-25 21:30:24.655,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,2,True,False,False,False,True,True,2.4605680000000003,164.17999999999995,66.72443110696389
2025-06-25 21:30:52.834,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,2,True,False,False,False,True,True,2.566175000000001,148.80000000000007,57.98513351583583
2025-06-25 21:31:20.879,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,2,True,False,False,False,True,True,2.588152000000001,169.42000000000007,65.45983388919971
2025-06-25 21:31:36.847,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,4,True,False,False,False,True,True,2.2628310000000003,171.95999999999992,75.99330219534728
2025-06-25 21:31:52.820,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,4,True,False,False,False,True,True,2.1812039999999993,171.99,78.85094654145145
2025-06-25 21:32:08.768,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,4,True,False,False,False,True,True,2.0888560000000007,178.18000000000006,85.30027919588521
