Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,matrix_multiplication Time,matrix_multiplication Energy,matrix_multiplication Power,logistic_function Time,logistic_function Energy,logistic_function Power,sign_eval Time,sign_eval Energy,sign_eval Power
2025-06-23 10:13:48.263,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,True,True,True,9.689558,779.26,80.42265704999134,6.250082,547.3699999999999,87.57805097597118,16.928712,1379.68,81.49940763361087
2025-06-23 10:15:06.567,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,False,True,True,9.909944,1028.47,103.78161571851466,6.404042,698.1800000000001,109.02177093779211,17.021742,1769.8799999999999,103.97760699228081
2025-06-23 10:16:24.601,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,False,True,True,9.783617999999999,798.6,81.62624501488101,6.241285,555.65,89.02814083958671,16.835639,1436.57,85.32910452641565
2025-06-23 10:17:42.451,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,False,True,True,9.755273,789.55,80.93571548433344,6.421278,559.27,87.09636928972705,16.841928,1411.44,83.80513204901482
2025-06-23 10:19:00.474,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,False,True,True,9.678004999999999,795.5500000000001,82.20185875084795,6.323193,550.9399999999999,87.13003066646866,17.052373,1432.86,84.02701489112395
2025-06-23 10:22:17.100,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,1,True,False,False,True,True,True,18.043751,815.1600000000001,45.17685929051005,13.121091,569.13,43.37520408935507,32.529277,1411.5,43.391680669693336
2025-06-23 10:24:19.962,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,1,True,False,False,False,True,True,17.900855999999997,790.8100000000001,44.17721700012559,13.245086,567.16,42.82040901810679,32.517508,1416.38,43.557458339058456
2025-06-23 10:26:22.714,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,1,True,False,False,False,True,True,17.888919,784.75,43.86793858253816,13.091025,563.41,43.03788282430138,32.604562,1413.9799999999998,43.36755083537082
2025-06-23 10:28:25.546,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,1,True,False,False,False,True,True,17.985905000000002,787.38,43.77761363690067,13.107296999999999,563.88,43.020311510451016,32.457786999999996,1420.59,43.76730921304031
2025-06-23 10:30:30.436,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,1,True,False,False,False,True,True,18.281443,773.72,42.32269848720367,13.32149,572.07,42.9433944701381,32.541878000000004,1429.16,43.91756370053381
