Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Sub Time,CKKS_Sub Energy,CKKS_Sub Power,CKKS_Sub_Scalar Time,CKKS_Sub_Scalar Energy,CKKS_Sub_Scalar Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power,CKKS_Rotate Time,CKKS_Rotate Energy,CKKS_Rotate Power
2025-06-26 21:52:04.110,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,1,True,False,False,False,True,True,0.00035858790826963165,0.028339124391938857,79.02978248399253,0.0004074300000000003,0.015600000000000058,38.288785803696456,0.002052648535564854,0.1318828451882845,64.25008612202214,0.000190807037037037,0.015092592592592591,79.0987210270605,0.04378875,2.7325,62.4018726271017,0.0018926835443038009,0.1299999999999999,68.68554460213196,0.03861153846153846,2.3000000000000007,59.567686024504454
2025-06-26 21:52:31.293,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,1,True,False,False,False,True,True,0.00033096643835616444,0.023575342465753428,71.23182212325464,0.0005699797979797968,0.015151515151515138,26.582547671368857,0.0021831940928270046,0.14886075949367095,68.18484897094608,0.00018243747747747745,0.01409369369369369,77.25218463094353,0.041498384615384604,2.3330769230769226,56.220909432989984,0.0013185802469135813,0.028888888888888964,21.90908665324661,0.039071785714285705,2.4342857142857146,62.302903995393116
2025-06-26 21:52:58.803,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,1,True,False,False,False,True,True,0.0003296296296296297,0.024505050505050502,74.34116445352397,0.0005381122448979581,0.03857142857142859,71.67915046932795,0.0021123613445378155,0.14453781512605038,68.42475862370756,0.00019235579024034962,0.015364166059723235,79.87368636278443,0.04161646153846155,2.7315384615384617,65.63600941934958,0.001578274999999997,0.10825000000000007,68.58754019419953,0.03874984615384616,2.3515384615384614,60.68510445699038
2025-06-26 21:53:26.198,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,1,True,False,False,False,True,True,0.0003376426611796983,0.024801097393689985,73.45368416134619,0.0005748367346938774,0.031938775510204076,55.561472645294145,0.0021962742616033746,0.15303797468354427,69.68072128287838,0.0001845916879329201,0.01479402114473204,80.14456831939329,0.04241008333333332,2.4974999999999996,58.889297160070036,0.001729443037974683,0.10962025316455704,63.38471447601487,0.03923869230769231,2.4346153846153844,62.046292611492184
2025-06-26 21:53:53.766,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,1,True,False,False,False,True,True,0.0003259783037475345,0.026515450361604215,81.3411507967722,0.0005692577319587628,0.0453608247422681,79.68416096200527,0.002071931914893617,0.1320425531914894,63.729195077469086,0.00018621748714180744,0.015495958853783978,83.21430544266539,0.043360333333333334,2.730833333333333,62.97998939122546,0.0018056708860759527,0.10582278481012664,58.60579888957426,0.038844692307692316,2.327692307692308,59.923046609674415
2025-06-26 21:54:16.712,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,2,True,False,False,False,True,True,0.001075854625550661,0.07189427312775332,66.82526748533078,0.0008474413793103444,0.05558620689655158,65.59298171371823,0.001604839116719243,0.12091482649842275,75.34389287918638,0.000263844676180022,0.019665203073545554,74.53325705964947,0.031558437499999994,2.2387499999999996,70.93982393773456,0.0023957000000000006,0.1601999999999999,66.86980840672867,0.02855733333333333,2.013333333333333,70.50144738070782
2025-06-26 21:54:39.662,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,2,True,False,False,False,True,True,0.0011143832599118946,0.07825991189427313,70.22710651671179,0.0007802,0.05089655172413787,65.23526239956149,0.0016862666666666664,0.1233650793650794,73.15870129185544,0.00027702097130242835,0.021385209713024284,77.19707866332509,0.032280812500000006,2.2275000000000005,69.00383935503483,0.002340585858585858,0.14010101010101017,59.85724026618567,0.02786327777777777,1.9094444444444445,68.52906753014224
2025-06-26 21:55:02.432,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,2,True,False,False,False,True,True,0.0011382321428571433,0.08187499999999999,71.93172369432544,0.0009801575342465747,0.07431506849315073,75.81951461534709,0.001596608832807571,0.11977917981072556,75.02099283773772,0.00030247008547008543,0.023475783475783475,77.61357107199036,0.032182687499999994,2.2443750000000002,69.73858227346615,0.002604559999999999,0.18079999999999996,69.41671529932121,0.027825444444444444,1.9805555555555552,71.17785879430895
2025-06-26 21:55:25.388,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,2,True,False,False,False,True,True,0.0010534675324675325,0.07612554112554112,72.26187687743219,0.0009078137931034479,0.05882758620689654,64.8013795932631,0.0015816285714285718,0.11476190476190479,72.55932703482246,0.00029111328125000003,0.021517857142857148,73.91575214453444,0.031010500000000003,2.2125,71.34680188968251,0.002406759999999999,0.1348999999999999,56.05045787697982,0.027427947368421052,1.7405263157894733,63.45813240816607
2025-06-26 21:55:48.164,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,2,True,False,False,False,True,True,0.001120685393258427,0.07640449438202247,68.17657733529842,0.0008012275862068954,0.0464137931034484,57.928351322970165,0.0016093564668769717,0.1189905362776025,73.93671863667903,0.0002947775910364145,0.022767507002801116,77.23622044251185,0.031163625,2.13625,68.54947073711739,0.0026504242424242423,0.16232323232323242,61.24424525137965,0.028646722222222212,2.0516666666666667,71.6195958040575
2025-06-26 21:56:08.765,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,4,True,False,False,False,True,True,0.0009753048780487806,0.07459349593495933,76.48223403146814,0.0008023936170212763,0.07170212765957451,89.36029168047739,0.001295550128534704,0.1022107969151671,78.89374148013074,0.0003025490640952921,0.02413499716392513,79.77217591498967,0.02867027777777778,2.1599999999999997,75.33934678771084,0.0021216240601503768,0.17548872180451125,82.71433431617142,0.024527818181818185,1.901363636363636,77.51866155682228
2025-06-26 21:56:29.399,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,4,True,False,False,False,True,True,0.0010299856850715747,0.08396728016359917,81.52276422925644,0.0007466505376344098,0.05317204301075268,71.2140959266112,0.0012641923076923082,0.10025641025641027,79.3047146754287,0.00023689738805970152,0.02007462686567164,84.73975601880653,0.027894666666666665,2.0461111111111117,73.35133757149916,0.0015323529411764717,0.11163398692810456,72.85135423331194,0.025903380952380962,1.9585714285714286,75.61064836176926
2025-06-26 21:56:49.883,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,4,True,False,False,False,True,True,0.0012177223587223588,0.06997542997542996,57.46419081016841,0.0007127073170731697,0.04385365853658535,61.53109065398179,0.0013251134020618558,0.1118814432989691,84.4315989294828,0.00029898197674418605,0.02225581395348837,74.43864742566343,0.028151789473684213,2.1815789473684206,77.49343782951067,0.0019268478260869547,0.12485507246376815,64.79757808239793,0.023774636363636366,2.518636363636363,105.93795526936648
2025-06-26 21:57:10.396,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,4,True,False,False,False,True,True,0.0009925501022494886,0.08173824130879347,82.35175345158308,0.0005606601941747572,0.041941747572815546,74.80778555101479,0.001250451697127937,0.10913838120104441,87.27916596196052,0.00026782893998878295,0.023398766124509262,87.3645922113168,0.02718978947368421,2.179473684210526,80.15779917383846,0.0018016917293233094,0.13488721804511283,74.86697965571203,0.024288428571428572,1.7909523809523815,73.73685686109594
2025-06-26 21:57:30.824,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,4,True,False,False,False,True,True,0.0010619329268292679,0.0813821138211382,76.63583241940704,0.0007893796791443863,0.05315508021390375,67.33778638882481,0.0012429742930591256,0.09722365038560413,78.21855281200044,0.0002829818491208168,0.024673851389676694,87.19234631597305,0.028070947368421056,2.155789473684211,76.79788805807841,0.0018990820895522387,0.13574626865671635,71.47993728313361,0.02344385714285714,1.6914285714285722,72.14804974803029
2025-06-26 21:57:50.185,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,8,True,False,False,False,True,True,0.0009298342749529192,0.07892655367231638,84.88238796780503,0.0006691153846153843,0.04657692307692307,69.60970282232572,0.0009632318271119843,0.09273084479371317,96.27053652467443,0.0002894809907834101,0.026025345622119812,89.9034701784339,0.023610608695652173,2.292608695652174,97.10078741317463,0.0014059649999999995,0.11125000000000002,79.12714754634722,0.019298961538461543,1.805769230769231,93.56820713749045
2025-06-26 21:58:09.502,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,8,True,False,False,False,True,True,0.0009323844696969698,0.07909090909090911,84.82649771785034,0.0006575285171102662,0.055589353612167325,84.54287862140754,0.0014081715116279073,0.12447674418604648,88.39601082551796,0.0002900519630484989,0.02457852193995381,84.73834026713378,0.024032869565217392,2.321304347826087,96.58872992785244,0.0013612437810945266,0.11796019900497512,86.6561894667593,0.019387703703703706,1.992222222222222,102.75699756241066
2025-06-26 21:58:28.613,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,8,True,False,False,False,True,True,0.0009759691119691119,0.08156370656370655,83.5720163306643,0.0006974351145038167,0.059580152671755704,85.42752068648481,0.0010570973630831641,0.09148073022312372,86.53955010946966,0.0002673688654353562,0.023240105540897095,86.9215101132111,0.02179686956521739,2.046086956521739,93.87067947531357,0.001368298507462686,0.12054726368159202,88.10012071498177,0.020276846153846156,2.043461538461538,100.77807578936185
2025-06-26 21:58:47.771,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,8,True,False,False,False,True,True,0.0009882689393939396,0.0864962121212121,87.52294914201825,0.0005926603053435118,0.03912213740458015,66.01106409835322,0.0010305588235294118,0.09456862745098038,91.76441489007486,0.0002963845700824499,0.026107184923439337,88.08550632773054,0.023707695652173913,2.1986956521739134,92.74185414018932,0.0013133750000000003,0.12164999999999998,92.62396497573043,0.019076185185185186,1.8885185185185185,98.9987515944837
2025-06-26 21:59:07.161,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,8,True,False,False,False,True,True,0.0009347915057915058,0.08679536679536679,92.8499737723606,0.0007445862068965513,0.06808429118773951,91.43909806161473,0.0009740652173913043,0.09855731225296445,101.18143066119949,0.000297689880952381,0.02848214285714285,95.67722881954091,0.022878772727272727,2.183181818181818,95.42390425424122,0.0012858159203980096,0.100547263681592,78.19724587829707,0.019132074074074072,1.867037037037037,97.58675561302913
2025-06-26 21:59:25.910,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,16,True,False,False,False,True,True,0.0010222873786407767,0.0895145631067961,87.56301307936893,0.0006008122605363981,0.039425287356321836,65.61997806290339,0.0010184521912350599,0.09966135458167329,97.85570244668592,0.00029928563084112136,0.02856892523364486,95.45705603491183,0.02385254545454546,2.2431818181818186,94.04370793282973,0.0011863168316831683,0.07900990099009897,66.60101153416011,0.019368740740740745,1.682962962962963,86.89067531494044
2025-06-26 21:59:44.864,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,16,True,False,False,False,True,True,0.0007421722222222221,0.06236111111111109,84.02512145279246,0.0006568888888888891,0.05923371647509579,90.17311371377907,0.0010299921259842519,0.1068503937007874,103.73903936273499,0.00028641590909090904,0.025028409090909087,87.38484244939416,0.0230544347826087,2.1886956521739136,94.93599269781161,0.00125171144278607,0.10696517412935319,85.45513803985781,0.018831666666666663,1.8522222222222224,98.35678673628938
2025-06-26 22:00:03.816,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,16,True,False,False,False,True,True,0.0009716218809980807,0.07437619961612285,76.548502118665,0.0006986551724137927,0.05697318007662833,81.54692375609409,0.0009856640159045724,0.09017892644135186,91.49053327121013,0.00030475700934579444,0.02616238317757009,85.84669876414485,0.022681782608695654,2.1621739130434783,95.32645428911538,0.0013008400000000002,0.10869999999999996,83.56139110113462,0.019047666666666664,1.9196296296296294,100.78030360479654
2025-06-26 22:00:22.807,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,16,True,False,False,False,True,True,0.0009657938342967245,0.07845857418111753,81.23739393951483,0.0006735261194029847,0.048880597014925364,72.57416692058395,0.0009860197238658781,0.09648915187376725,97.85722287122529,0.0002901845444059976,0.026897347174163783,92.6904884931834,0.02418378260869565,2.36,97.58605749091647,0.0012317970297029699,0.10049504950495047,81.5840979330689,0.019664192307692313,1.9730769230769227,100.33856932456295
2025-06-26 22:00:41.827,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,16,True,False,False,False,True,True,0.0009698634615384612,0.07763461538461539,80.04695347679791,0.0007667153846153841,0.05746153846153845,74.94507038014311,0.0010353658051689865,0.09628230616302187,92.99351560804853,0.00029236117511520737,0.025702764976958524,87.91442628054199,0.022612043478260874,2.092608695652174,92.54398867859949,0.0013947349999999994,0.10970000000000008,78.65293406991302,0.019234925925925926,1.9533333333333336,101.55138318991496
2025-06-26 22:01:00.767,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,32,True,False,False,False,True,True,0.0009153371647509577,0.06936781609195403,75.78389555593695,0.0008135076335877862,0.07667938931297713,94.25773790812573,0.0009630673267326736,0.08893069306930694,92.34109661991695,0.00021273029702970292,0.020134653465346534,94.648734789926,0.02259108695652174,2.2026086956521733,97.49901365486578,0.001262482587064677,0.10308457711442787,81.65227637246362,0.018709384615384614,1.8546153846153848,99.12754602790868
2025-06-26 22:01:19.786,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,32,True,False,False,False,True,True,0.0009779692307692303,0.08261538461538463,84.47646614648886,0.0006751615384615389,0.05469230769230765,81.00625491335396,0.000995209486166008,0.0867391304347826,87.15665559915483,0.0002974664705882352,0.026970588235294114,90.66765804549402,0.022532999999999997,2.181304347826087,96.80487941357508,0.0012621850000000007,0.10565000000000002,83.7040528924048,0.020134962962962966,1.9285185185185187,95.77959105591158
2025-06-26 22:01:38.757,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,32,True,False,False,False,True,True,0.0009815603112840463,0.07968871595330738,81.18575602253225,0.0008844384615384624,0.06688461538461543,75.62382041625715,0.0007492819383259912,0.07292217327459619,97.3227426748272,0.00031210465116279063,0.027598837209302327,88.42815096307889,0.022748739130434785,2.135652173913044,93.88002392870317,0.0012741249999999992,0.10965000000000008,86.05906013931141,0.019832333333333337,1.9662962962962967,99.14598868663779
2025-06-26 22:01:57.684,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,32,True,False,False,False,True,True,0.0009927534246575343,0.08659491193737769,87.22700903021307,0.0007395057915057911,0.06061776061776064,81.97063676043697,0.0010077996031746033,0.09779761904761905,97.04073978552204,0.00029628013977868375,0.02647641234711707,89.36276446640838,0.022516,2.1434782608695655,95.19800412460319,0.0011927512437810948,0.10218905472636819,85.67507706168689,0.020489769230769235,1.9826923076923078,96.76498965712717
2025-06-26 22:02:16.627,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,5,32,True,False,False,False,True,True,0.0007435952380952385,0.06308035714285715,84.83157759918026,0.0007331526717557248,0.057442748091603046,78.35032225149156,0.0009938455445544555,0.09364356435643562,94.2234584332884,0.0003038938156359393,0.027829638273045507,91.57684967957702,0.023345347826086958,2.1900000000000004,93.80884004447401,0.0013885373134328357,0.10417910447761192,75.02794737294693,0.020193814814814814,1.9922222222222221,98.65507040109458
