Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,runtime_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,hexl,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power
2025-12-01 09:40:05.668,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,True,0.0008436847290640393,0.09431855500821018,111.793602229644,0.0005551789883268482,0.06237354085603114,112.34852573222786,0.005730752808988765,0.5797752808988763,101.16913086697627,0.0005900542168674697,0.06514056224899599,110.39758786034913
2025-12-01 09:40:12.703,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,True,0.0008368536184210527,0.09238486842105265,110.39549377268789,0.0005344630350194552,0.059922178988326844,112.11660126531592,0.005534460674157303,0.5617977528089888,101.5090332888724,0.0005942988047808765,0.06754980079681273,113.6630265001441
2025-12-01 09:40:19.678,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,True,0.0008278762214983713,0.09299674267100977,112.3316991792507,0.0005413813229571984,0.06239299610894941,115.24778093218816,0.005596955056179775,0.557752808988764,99.65290115612622,0.0005819859719438877,0.06711422845691384,115.31932330386937
2025-12-01 09:40:26.718,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,True,0.0008123192182410424,0.09263843648208471,114.04191160548879,0.0005764863813229572,0.06381322957198443,110.6933860701823,0.005651102272727273,0.5760227272727273,101.93103919790387,0.0005660457256461233,0.06242544731610339,110.28340024093762
2025-12-01 09:40:33.890,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,True,0.0008137516339869281,0.08834967320261436,108.57080896999291,0.0005665898437500001,0.06333984375,111.7913503898736,0.0058611724137931035,0.6100000000000001,104.07474084271713,0.0005599539078156312,0.06326653306613228,112.98525143423632
2025-12-01 09:40:44.666,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,True,0.0016989536423841053,0.1936754966887417,113.99692837819931,0.0011838165467625904,0.1285251798561151,108.56849417048258,0.013719394736842108,1.3910526315789475,101.39314876941403,0.001226761904761905,0.1332967032967033,108.65735460099249
2025-12-01 09:40:55.487,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,True,0.0017102133333333337,0.18899999999999997,110.51252865139628,0.0011781714285714288,0.1289285714285714,109.43107963915021,0.013037307692307695,1.317179487179487,101.03155638158732,0.0011659272727272724,0.12858181818181819,110.2828805788604
2025-12-01 09:41:06.333,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,True,0.0017024013377926414,0.18812709030100336,110.50689759497705,0.0012582246376811592,0.13793478260869563,109.62651539148213,0.01350110526315789,1.3589473684210527,100.654527309655,0.0012317794117647058,0.13735294117647057,111.50774226668734
2025-12-01 09:41:17.202,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,True,0.001765213058419244,0.19752577319587628,111.89911169859658,0.0012265755395683454,0.14107913669064748,115.01871033584759,0.013441974358974356,1.2725641025641026,94.6709217395949,0.001205567272727273,0.1376363636363636,114.16730260518621
2025-12-01 09:41:28.093,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,True,0.0017457171717171719,0.1946127946127946,111.48013994807879,0.0012613795620437956,0.14138686131386857,112.08906943504097,0.013559769230769231,1.341025641025641,98.89737931399634,0.001222789667896679,0.1414760147601476,115.69938679928539
2025-12-01 09:41:46.424,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,True,0.003960592307692307,0.4416923076923077,111.52178093020277,0.0029650245901639335,0.3433606557377049,115.8036452300454,0.029352411764705884,2.740000000000001,93.34837702483615,0.003014090909090909,0.3421487603305786,113.5164036687186
2025-12-01 09:42:04.861,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,True,0.003685695652173913,0.425144927536232,115.34998210866141,0.0030847249999999982,0.33950000000000014,110.05843308560742,0.03056276470588236,3.002352941176471,98.23564622079539,0.0029763644067796607,0.34745762711864403,116.73894040904186
2025-12-01 09:42:23.395,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,True,0.0037384888888888895,0.4177777777777779,111.7504398687527,0.0029466428571428577,0.3362698412698413,114.1196465172903,0.03010817647058825,2.9805882352941175,98.99597334318013,0.00298889256198347,0.35074380165289254,117.34908310659857
