Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Add_Many Time,CKKS_Add_Many Energy,CKKS_Add_Many Power,CKKS_Sub Time,CKKS_Sub Energy,CKKS_Sub Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power,CKKS_Rotate Time,CKKS_Rotate Energy,CKKS_Rotate Power,CKKS_Fast_Rotate_Precompute Time,CKKS_Fast_Rotate_Precompute Energy,CKKS_Fast_Rotate_Precompute Power,CKKS_Fast_Rotate Time,CKKS_Fast_Rotate Energy,CKKS_Fast_Rotate Power,CKKS_Bootstrap Time,CKKS_Bootstrap Energy,CKKS_Bootstrap Power,CKKS_Chebyshev_Function Time,CKKS_Chebyshev_Function Energy,CKKS_Chebyshev_Function Power,CKKS_Logistic Time,CKKS_Logistic Energy,CKKS_Logistic Power
2025-06-18 00:59:44,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,False,False,True,True,True,0.06724577586206898,4.151896551724141,61.74211686158985,0.03804933333333338,0.8022222222222268,21.083739239116564,1.3450749999999996,126.48000000000002,94.03193130494586,0.020095499999999933,1.8136363636363626,90.25087027624934,0.22814799999999913,8.25,36.16073776671298,0.028059124999999963,2.7749999999999915,98.89830848253447,0.3030609999999996,22.83000000000004,75.3313689323274,0.22909500000000005,12.489999999999952,54.51886771863179,0.06423099999999948,1.6999999999999318,26.46697077734965,28.084650000000003,1788.5700000000002,63.684966698890676,15.108863999999999,945.7199999999999,62.593719819041326,13.730384999999998,837.3100000000001,60.982266702645276
2025-06-18 01:12:58,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,False,False,False,True,True,0.023507,1.7129508196721304,72.86981833803252,0.06329533333333348,2.893333333333345,45.71163750882116,0.15736999999999846,1.75,11.120289762979075,0.01391433333333325,1.2795238095238162,91.95724860626862,0.35814399999999935,22.370000000000005,62.46090957827032,0.009363374999999952,0.8712499999999892,93.04871373836824,0.21146500000000046,16.50999999999999,78.07438583217059,0.08788700000000027,1.1999999999999886,13.65389648070801,0.4308399999999999,35.48000000000002,82.35075666140568,17.830678999999996,1109.6999999999998,62.23543141570773,12.429125,794.4,63.914394617481115,14.120627999999998,883.64,62.57795333182066
2025-06-18 01:25:59,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,False,False,False,True,True,0.03239834426229507,2.2832786885245913,70.47516595413958,0.04350077777777761,3.1400000000000006,72.18261742446525,0.946451999999999,71.83000000000004,75.89397032284798,0.03382404761904756,2.566190476190471,75.86881691667661,0.7587449999999993,62.34000000000003,82.16199118280856,0.006140625000000011,0.6212499999999892,101.17048346055786,0.34595600000000104,23.31000000000006,67.37851056203677,0.1054314999999999,6.2099999999999795,58.900802890976465,0.4127470000000013,38.93999999999994,94.34350825081664,20.242811000000003,1268.1499999999996,62.646931792229815,12.314693,755.1099999999999,61.317809546693525,13.945696000000002,879.9800000000001,63.1004720022579
2025-06-18 01:38:56,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,False,False,False,True,True,0.03006630645161293,1.890483870967742,62.8771569933335,0.004777333333333189,0.3455555555555634,72.33230998232776,0.38343599999999967,29.25999999999999,76.30999697472333,0.012962909090909136,0.8504545454545465,65.60676615798907,0.40199799999999897,16.31000000000006,40.5723411559264,0.0295423749999999,0.9762500000000074,33.0457520764668,0.3962190000000003,18.519999999999982,46.741827120859845,0.11872900000000008,11.064999999999998,93.19542824415257,0.29042999999999886,22.819999999999936,78.57315015666434,20.217095,1279.88,63.30682029243074,13.262706,858.58,64.73641201124417,13.786951,872.1100000000001,63.25619058194956
2025-06-18 01:52:03,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,1,True,False,False,False,True,True,0.023978409836065556,1.6452459016393455,68.6136367210121,0.025302333333333094,2.1544444444444366,85.14805397833364,0.33276099999999964,21.50999999999999,64.64098857738742,0.02032514285714282,1.4699999999999989,72.32421490623865,0.20740400000000037,9.460000000000036,45.61146361690237,0.002331000000000083,0.5474999999999994,234.87773487772628,0.3134289999999993,12.910000000000082,41.1895517007045,0.16527349999999963,9.490000000000009,57.41997355897969,0.03471000000000046,2.8900000000001,83.26130798041088,19.95626,1223.37,61.30256871778579,12.431084,789.9499999999999,63.546348813989184,14.008097999999999,863.81,61.66504546156088
2025-06-18 02:02:52,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,False,False,False,True,True,0.037841607843137254,2.389607843137254,63.14762980058259,0.004756357142857159,0.34142857142857963,71.78362792653589,0.4030529999999999,22.950000000000045,56.94040237884361,0.007992533333333274,0.7356666666666634,92.04424129187268,0.0979384999999997,8.55499999999995,87.35073541048695,0.004325750000000017,0.20666666666667766,47.77591554451294,0.22663999999999973,16.125,71.14807624426412,0.10629574999999969,7.237500000000011,68.08832902538467,0.0839129999999999,9.20999999999998,109.75653355260793,9.613523999999998,761.19,79.1790814689806,7.234736,553.0500000000001,76.44370160846229,8.893125000000001,634.5400000000001,71.35174643334037
2025-06-18 02:13:35,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,False,False,False,True,True,0.03203050980392158,2.1219607843137247,66.24811148194486,0.00910326666666672,0.5473333333333272,60.12493683586009,0.19051500000000132,9.169999999999959,48.132692963808076,0.00415150000000003,0.4289999999999985,103.33614356256663,0.302562,24.055000000000007,79.50436604728951,0.008367999999999931,0.6438461538461553,76.9414619797037,0.20769600000000032,15.220000000000027,73.28017872274864,0.08062199999999997,6.402500000000003,79.41380764555588,0.1503205000000003,1.2549999999999955,8.348828004164389,9.988318,774.77,77.567614487244,7.253883,527.85,72.76792305583093,8.971798,647.81,72.20514773070013
2025-06-18 02:24:17,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,False,False,False,True,True,0.046572882352941214,2.7598039215686274,59.257743608268164,0.006682428571428534,0.8057142857142878,120.57207602026737,0.43344199999999944,29.110000000000014,67.16008139497337,0.0025273999999999575,0.4540000000000006,179.63124159215332,0.20579000000000036,11.439999999999998,55.590650663297424,0.010241333333333547,0.923333333333332,90.15753157140797,0.28976950000000024,19.04000000000002,65.70739846671235,0.10616324999999982,9.132499999999993,86.02317657004669,0.008367999999999931,0.06499999999999773,7.76768642447398,10.305371000000001,813.02,78.89284141250226,7.2459289999999985,520.93,71.89278283019335,8.694631999999999,617.4099999999999,71.010480949625
2025-06-18 02:34:53,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,False,False,False,True,True,0.047277901960784324,2.8841176470588223,61.00350327413251,0.013789333333333431,0.35200000000000387,25.52697737381561,0.6066800000000008,42.280000000000086,69.69077602690056,0.007459366666666634,0.9046666666666674,121.27928644523057,0.3642664999999994,22.79000000000002,62.56408426248381,5.946153846159152e-05,0.10846153846154039,1824.0620957293231,0.31173999999999946,21.014999999999986,67.4119458523129,0.09807033333333326,9.316666666666663,94.99984704854683,0.10294999999999987,9.375,91.06362311801857,10.543984000000002,811.9700000000003,77.00789379043064,6.811991000000001,501.2600000000001,73.58494748451665,8.664739,632.0099999999999,72.94045440953268
2025-06-18 02:45:32,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,2,True,False,False,False,True,True,0.036330725490196114,2.6376470588235303,72.60100158295221,0.0012730000000000796,0.500714285714281,393.33408147230926,0.5415159999999997,31.430000000000064,58.040759645144526,0.008638666666666683,0.398333333333337,46.110510881309175,0.33365449999999974,24.07499999999999,72.15547819675744,0.0018136666666668244,0.020833333333328596,11.486859033262332,0.4768644999999996,26.850000000000023,56.30530265935092,0.11467649999999985,8.762499999999989,76.41059850972083,0.16998350000000073,25.639999999999986,150.83816958704742,9.990154999999994,755.79,75.65348085189873,7.927139,559.6,70.59293397025081,8.851895,622.3299999999999,70.30472006276621
