Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Add_Many Time,CKKS_Add_Many Energy,CKKS_Add_Many Power,CKKS_Sub Time,CKKS_Sub Energy,CKKS_Sub Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power,CKKS_Rotate Time,CKKS_Rotate Energy,CKKS_Rotate Power,CKKS_Fast_Rotate_Precompute Time,CKKS_Fast_Rotate_Precompute Energy,CKKS_Fast_Rotate_Precompute Power,CKKS_Fast_Rotate Time,CKKS_Fast_Rotate Energy,CKKS_Fast_Rotate Power,CKKS_Bootstrap Time,CKKS_Bootstrap Energy,CKKS_Bootstrap Power,CKKS_Chebyshev_Function Time,CKKS_Chebyshev_Function Energy,CKKS_Chebyshev_Function Power
2025-06-25 18:24:52.737,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,True,True,True,0.00201648936170213,0.1748936170212767,86.73173305196514,0.002265181818181805,0.14590909090908966,64.41385399526409,0.4445579999999998,36.31999999999999,81.69912587333938,0.011904645833333338,0.8249999999999993,69.3006756815878,0.18822666666666676,9.799999999999997,52.06488630728904,0.012366666666666637,0.594444444444445,48.06828391734068,0.21787500000000004,14.189999999999998,65.12908777969017,0.06081683333333321,3.3633333333333297,55.30267113545871,0.09269533333333335,3.566666666666663,38.47730558172647,13.047309,819.64,62.820616879695265,5.999107,373.15999999999997,62.202591152316494
2025-06-25 18:29:26.302,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,0.003677979020979022,0.24629370629370584,66.9644130346742,0.004141863636363652,0.21454545454545482,51.79925593441675,0.2962150000000001,18.08000000000004,61.03674695744656,0.010967583333333322,0.8739583333333334,79.68558859061942,0.242305,16.710000000000022,68.96267101380501,0.009831222222222269,0.6227777777777774,63.346933239904274,0.21003800000000017,13.983333333333334,66.57525463646256,0.11319033333333328,7.663333333333341,67.7030724060654,0.08838500000000016,7.019999999999982,79.42524183967834,12.911208000000002,808.8899999999999,62.65021832194166,6.07231,386.33,63.62158717193292
2025-06-25 18:33:59.187,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,0.0037307464788732397,0.26964788732394407,72.27719408191551,0.005695454545454504,0.32727272727272805,57.462090981644614,0.2905249999999997,20.620000000000005,70.97495912572077,0.008586469387755105,0.5295918367346948,61.677484984681726,0.22862499999999986,13.933333333333337,60.94404957171502,0.010643888888888842,0.8244444444444454,77.45706978443594,0.21679333333333317,13.336666666666659,61.517881853685545,0.08647733333333352,4.961666666666666,57.375343057140086,0.16623733333333313,13.566666666666677,81.61022794719213,12.843635,800.06,62.29233390702865,6.1873700000000005,396.56000000000006,64.09185162678166
2025-06-25 18:38:35.668,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,0.004337248226950356,0.3190780141843974,73.56692480770239,0.00018259090909095166,0.1613636363636317,883.7440876273513,0.13911099999999976,1.9399999999999977,13.945698039694927,0.006963959183673457,0.44102040816326404,63.328976596704834,0.16955766666666672,11.59666666666665,68.39364385371337,0.010912555555555536,0.7194444444444485,65.92813578650534,0.2590013333333332,14.156666666666666,54.65866327586476,0.0911428333333334,5.11666666666666,56.138990631920116,0.13593733333333335,7.980000000000004,58.70352024952676,13.024057999999998,817.28,62.75156329924207,6.115074,396.97,64.9166306082314
2025-06-25 18:42:09.540,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,2,True,False,False,False,True,True,0.005010103773584913,0.40094339622641506,80.02696437952729,0.005451878787878783,0.4727272727272709,86.70905776157205,0.2644340000000005,19.370000000000005,73.2507922581815,0.0064844516129032165,0.5320967741935485,82.05732819946486,0.1155520000000001,8.754999999999995,75.76675436167257,0.0028414482758620796,0.04896551724137943,17.23259144195527,0.13107625,10.112499999999997,77.14975062225228,0.05809900000000001,4.648000000000003,80.00137696001656,0.04854674999999986,3.3374999999999915,68.74816542816977,8.516126,620.5899999999999,72.87233655302892,3.979653999999999,290.54999999999995,73.00885956417316
2025-06-25 18:45:45.591,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,2,True,False,False,False,True,True,0.004161794392523364,0.25588785046728946,61.48498131647019,0.00515294117647061,0.2864705882352947,55.59360730593595,0.34973099999999935,27.00999999999999,77.2307859469136,0.007885190476190476,0.5792063492063484,73.45495976987189,0.16367825000000003,11.740000000000009,71.72608455918858,0.007090482758620703,0.6431034482758626,90.69952923783207,0.16736300000000015,12.81750000000001,76.5850277540436,0.06633940000000005,4.631,69.80768593023146,0.08622050000000003,6.107500000000002,70.83582210727147,8.548376000000001,611.5000000000001,71.53405512345269,3.9548510000000006,283.57,71.70181632632935
2025-06-25 18:49:21.354,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,2,True,False,False,False,True,True,0.004402283018867921,0.2929245283018864,66.53923135937183,0.004858333333333326,0.32484848484848605,66.86418213004869,0.31970400000000065,24.810000000000002,77.6030328053448,0.006939532258064526,0.5720967741935494,82.4402499936084,0.15720749999999994,10.712499999999991,68.14242323044381,0.007045586206896548,0.45482758620689623,64.55496715967932,0.15212724999999994,10.352500000000006,68.05158181719587,0.04734139999999998,3.429000000000002,72.43131804298149,0.08383275000000001,5.882499999999993,70.16947434027863,8.448820999999999,592.9700000000001,70.1837569999412,3.8473930000000003,274.88000000000005,71.44578159808474
2025-06-25 18:52:57.361,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,2,True,False,False,False,True,True,0.0034961415094339615,0.1856603773584906,53.10436572933506,0.009045794117647055,0.6573529411764696,72.66945639344894,0.31016200000000005,18.75,60.452279776374915,0.006996564516129025,0.49322580645161285,70.4954274793851,0.15974774999999997,10.75,67.29359255451173,0.006828310344827587,0.4368965517241392,63.98311290216712,0.14287699999999992,10.217500000000001,71.51255975419421,0.05684549999999999,3.517000000000003,61.86945316691741,0.07943900000000004,2.3500000000000085,29.5824469089491,8.528461000000002,574.8400000000001,67.40254777503233,3.8215780000000006,265.18,69.39018384552139
2025-06-25 18:56:07.225,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,4,True,False,False,False,True,True,0.006738453703703698,0.5137962962962965,76.24839746452446,0.00461464583333332,0.37833333333333385,81.98534557094071,0.11902599999999985,11.229999999999961,94.34913380269836,0.005861573170731715,0.49170731707317117,83.88657835551511,0.12781224999999985,11.504999999999995,90.01484599480887,0.005792261904761897,0.4649999999999981,80.2795190627888,0.06914880000000001,5.786000000000001,83.67462631311028,0.02070635294117651,1.803529411764707,87.100293175155,0.09335880000000008,7.227999999999994,77.42173207024928,6.287861999999999,524.56,83.42422273262359,2.487856,205.19,82.47663851927122
2025-06-25 18:59:22.913,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,4,True,False,False,False,True,True,0.004299499999999998,0.2687037037037041,62.496500454402664,0.004735744680851056,0.3606382978723426,76.15239464462273,0.34044199999999947,26.560000000000002,78.01622596506907,0.006455629629629631,0.5416049382716048,83.89653207268607,0.09349640000000004,7.409999999999997,79.25438840425934,0.005807000000000007,0.5285714285714302,91.02314940096946,0.13142319999999996,9.632000000000005,73.28995185020611,0.03632183333333333,2.8761111111111113,79.18408425908507,0.0658323999999999,5.466000000000008,83.02902522162364,6.251075999999999,532.17,85.13254358129704,2.7264630000000007,223.35000000000002,81.91932184665626
2025-06-25 19:02:31.972,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,4,True,False,False,False,True,True,0.005257275229357795,0.40972477064220136,77.93481466486803,0.006314541666666673,0.4197916666666659,66.4801483348618,0.3476119999999998,29.960000000000036,86.18804874400209,0.006064950617283946,0.5477777777777781,90.31858828606396,0.10423260000000001,7.007999999999996,67.23424341328908,0.004853476190476214,0.4295238095238112,88.49817999862634,0.10915040000000009,9.098000000000013,83.35287823040507,0.02640117647058826,2.7429411764705875,103.89465710084208,0.07047720000000002,5.353999999999999,75.96783073107328,6.046125999999999,480.7600000000001,79.51537893851372,2.605828,212.85000000000002,81.68229061933482
2025-06-25 19:05:48.719,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,4,True,False,False,False,True,True,0.004276266055045871,0.2649541284403667,61.95922447990073,0.0049167446808510845,0.18148936170212693,36.91250481420387,0.29760399999999976,9.46999999999997,31.820808860095894,0.006794365853658529,0.5134146341463408,75.56476133381673,0.13040859999999999,8.617999999999995,66.08459871511538,0.0030873333333333586,0.17666666666666586,57.22306197365507,0.10312680000000007,7.634,74.02537458740109,0.04010029411764704,3.120588235294118,77.81958471772985,0.056017800000000006,3.4839999999999947,62.19451674289233,6.113190000000001,499.82000000000005,81.7609136964498,2.7756049999999997,223.90999999999997,80.67070062202654
2025-06-25 19:08:46.606,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,8,True,False,False,False,True,True,0.005963336363636357,0.6125454545454545,102.71858187988127,0.0039889999999999926,0.3756666666666666,94.17564970335104,0.309412,28.730000000000018,92.85354155624222,0.005892821052631572,0.5109473684210526,86.7067511226864,0.1012185000000001,9.44166666666667,93.28004926635606,0.006035166666666661,0.5381481481481485,89.16873018941466,0.07655485714285715,7.942857142857136,103.7537974636301,0.018388333333333312,2.162592592592592,117.60677563269796,0.08288042857142852,6.054285714285726,73.04843638770502,5.239736000000001,495.6300000000001,94.59064349806938,2.116677,199.27999999999997,94.14757187799553
